person age,person income,person emp length,loan amnt,loan int rate,loan percent income,cb person cred hist length,person home ownership MORTGAGE,person home ownership OTHER,person home ownership OWN,person home ownership RENT,loan intent DEBTCONSOLIDATION,loan intent EDUCATION,loan intent HOMEIMPROVEMENT,loan intent MEDICAL,loan intent PERSONAL,loan intent VENTURE,cb person default on file N,cb person default on file Y
0.0628151,0.32751387,0.3241787,0.002159341,1.3735293,0.32729387,0.24516538,0.05398106,0.00018339482,0.0968361,0.31867918,0.27072456,0.27744302,0.042862333,0.2540185,0.022933109,0.100827485,0.05009492,0.0019857085
0.13153705,0.3126435,0.12736967,0.07762487,0.11901466,0.51230544,0.40851617,0.012100473,0.0008694247,0.108980946,0.16175508,0.03732842,0.25654158,0.26815557,0.02433601,0.0111578265,0.019980218,0.17867334,0.0081084315
0.08268875,0.046701174,0.17941478,0.1798426,0.29880977,3.1315181,0.24746698,0.21247786,0.0004811712,0.14467436,0.67335343,0.068315804,0.021385744,0.053566754,0.08311616,0.014790929,0.3676982,0.03452928,0.002502991
0.3965755,0.02803199,0.17709368,0.010664449,0.11098655,0.23180814,0.027635066,0.014747148,0.00011874561,0.09756569,0.25294405,0.076882534,0.010274119,0.065380916,0.08414218,0.040077213,0.5758764,0.63026553,0.0810051
0.16298717,0.9114008,0.1851422,0.04808772,0.10010007,0.35944098,0.13463661,0.036785305,0.00012375537,0.08712078,0.26204088,0.11327443,0.08532358,0.06142244,0.099791884,0.024839198,0.062021565,0.27609548,0.029174957
0.11519995,0.3218104,0.14264277,0.026007371,0.26025075,0.26086015,0.3496387,0.04644768,0.000198439,0.12450542,0.27859455,0.052644517,0.0208199,0.1197379,0.05631583,0.037413895,0.11820672,0.04100186,0.0026177345
0.041953497,0.87365365,0.29911476,0.14161338,1.3724983,0.98501617,0.42568207,0.006657609,0.00013746883,0.060856972,0.12542696,0.17154615,0.05124078,0.18775886,0.04215158,1.9801897e-05,0.14101456,0.07453453,0.0021358181
0.23042409,0.72616285,0.13313052,0.04041552,0.13054831,0.25465092,0.16088043,0.020831805,0.00018954913,0.08635827,0.23655964,0.08120475,0.010505455,0.06566804,0.07897916,0.19721596,0.081991605,0.06841705,0.007451197
0.097696975,0.6822022,0.1466543,0.14193931,1.9416194,0.5774325,0.1303161,0.013432298,4.2865602e-05,0.08651211,0.24805488,0.9687556,0.0639795,0.048883423,0.17258582,0.038156923,0.109679244,0.0652941,0.0016080965
0.12392439,0.22410299,0.112724565,0.24677065,2.619821,0.24655615,0.03911218,0.042751368,0.00025774713,0.06426833,0.25197497,1.3123733,0.04498372,0.034582082,0.21570757,0.069160186,0.11039556,0.25440162,0.026333513
